200,1,0.0035515,4.50514
200,2,0.0016318,9.80512
200,4,0.0009732,16.4406
200,8,0.0006723,23.7989
200,12,0.0004468,35.8102
400,1,0.0228118,5.61113
400,2,0.0115505,11.0818
400,4,0.006851,18.6834
400,8,0.0038933,32.877
400,12,0.0035689,35.8654
800,1,0.176931,5.78757
800,2,0.116759,8.77022
800,4,0.0933576,10.9686
800,8,0.0741623,13.8076
800,12,0.0543756,18.832
1200,1,1.05427,3.2781
1200,2,0.484113,7.13883
1200,4,0.349467,9.88935
1200,8,0.260933,13.2448
1200,12,0.233504,14.8006
1600,1,2.27248,3.60487
1600,2,1.27053,6.44772
1600,4,0.850789,9.6287
1600,8,0.633371,12.934
1600,12,0.550465,14.882
2000,1,4.50175,3.55417
2000,2,2.33901,6.8405
2000,4,1.6302,9.81477
2000,8,1.16507,13.733
2000,12,1.06858,14.9732
